year,record,age,grade,consideration,plan,attempt
2001,187580,15,9,no,no,yes
2001,187581,15,9,yes,yes,yes
2001,187582,15,9,no,no,yes
2001,187583,15,9,no,no,yes
2001,187584,15,10,no,no,yes
2001,187586,15,9,no,no,yes
2001,187587,15,9,no,no,yes
2001,187588,15,10,no,no,yes
2001,187590,15,9,no,no,yes
2001,187592,15,9,no,no,yes
2001,187593,15,9,no,no,yes
2001,187594,15,9,yes,no,yes
2001,187595,15,9,no,no,yes
2001,187596,15,9,no,no,yes
2001,187597,15,9,no,no,yes
2001,187598,15,9,no,no,yes
2001,187600,15,10,no,no,yes
2001,187601,15,10,no,no,yes
2001,187602,15,9,yes,no,no
2001,187603,15,9,no,no,yes
2001,187604,15,9,no,no,yes
2001,187606,15,9,no,no,yes
2001,187607,15,9,yes,yes,no
2001,187608,15,9,no,no,yes
2001,187609,15,9,no,no,yes
2001,187610,15,9,no,no,yes
2001,187611,15,9,no,no,yes
2001,187612,15,10,no,no,yes
2001,187613,15,9,no,no,yes
2001,187614,15,10,no,no,yes
2001,187615,15,9,no,yes,no
2001,187616,15,9,no,no,yes
2001,187617,15,9,yes,no,no
2001,187618,15,9,no,no,yes
2001,187619,15,10,no,no,yes
2001,187621,15,10,no,no,yes
2001,187622,15,9,no,no,yes
2001,187623,15,9,no,no,yes
2001,187624,15,9,no,no,yes
2001,187625,15,9,no,no,yes
2001,187626,15,9,no,no,yes
2001,187628,15,9,no,no,yes
2001,187631,15,9,no,no,yes
2001,187632,15,9,no,no,yes
2001,187633,15,9,no,no,yes
2001,187635,15,9,no,no,yes
2001,187637,15,9,no,no,yes
2001,187638,15,9,no,no,yes
2001,187639,15,9,yes,no,yes
2001,187640,15,9,no,no,yes
2001,187641,15,9,no,no,yes
2001,187642,15,10,no,no,yes
2001,187643,15,10,no,no,yes
2001,187644,15,9,no,no,yes
2001,187645,15,10,no,no,yes
2001,187646,15,10,no,yes,yes
2001,187647,15,9,no,no,yes
2001,187648,15,9,no,no,yes
2001,187649,15,9,no,no,yes
2001,187650,15,9,no,no,yes
2001,187652,15,10,no,no,yes
2001,187654,15,9,no,no,yes
2001,187655,15,9,no,no,yes
2001,187656,15,9,no,no,yes
2001,187657,15,9,no,no,yes
2001,187659,15,9,no,no,yes
2001,187660,15,9,no,no,yes
2001,187661,15,9,no,no,yes
2001,187662,15,10,no,no,yes
2001,187663,15,9,no,no,yes
2001,187664,15,9,yes,no,no
2001,187665,15,9,no,no,yes
2001,187666,15,9,yes,yes,no
2001,187667,15,9,no,no,yes
2001,187668,15,9,no,no,yes
2001,187670,15,9,no,no,yes
2001,187671,15,9,no,no,yes
2001,187672,15,9,yes,no,yes
2001,187673,15,10,no,no,yes
2001,187674,15,9,no,no,yes
2001,187675,15,10,yes,yes,yes
2001,187676,15,10,no,no,yes
2001,187677,15,9,no,no,yes
2001,187678,15,9,no,no,yes
2001,187679,15,9,no,no,yes
2001,187680,15,9,no,no,yes
2001,187681,15,9,no,no,yes
2001,187683,15,9,yes,no,yes
2001,187685,15,9,no,no,yes
2001,187686,15,10,no,no,yes
2001,187687,15,10,yes,yes,yes
2001,187688,15,10,no,no,yes
2001,187689,15,9,no,no,yes
2001,187690,15,9,no,no,yes
2001,187691,15,9,no,no,yes
2001,187692,15,9,no,no,yes
2001,187693,15,9,yes,no,no
2001,187694,15,9,no,no,yes
2001,187695,15,9,no,no,yes
2001,187697,15,10,no,no,yes
2001,187699,15,9,no,no,yes
2001,187700,15,9,no,no,yes
2001,187701,15,9,yes,yes,yes
2001,187703,15,9,no,no,yes
2001,187704,15,9,no,no,yes
2001,187705,15,10,no,no,yes
2001,187706,15,10,yes,yes,yes
2001,187707,15,9,no,no,yes
2001,187708,15,10,yes,no,yes
2001,187709,15,9,no,no,yes
2001,187711,15,11,no,no,yes
2001,187712,15,9,no,no,yes
2001,187713,15,9,no,no,yes
2001,187714,15,9,no,no,yes
2001,187715,15,9,no,no,yes
2001,187716,15,9,no,no,yes
2001,187717,15,9,no,no,yes
2001,187718,15,9,no,no,yes
2001,187719,15,10,no,no,yes
2001,187720,15,9,no,no,yes
2001,187721,15,9,yes,no,no
2001,187722,15,9,no,no,yes
2001,187723,15,10,no,no,yes
2001,187724,15,9,no,yes,yes
2001,187725,15,9,no,no,yes
2001,187726,15,10,no,no,yes
2001,187727,15,9,yes,no,yes
2001,187728,15,10,no,no,yes
2001,187729,15,9,no,no,yes
2001,187730,15,9,no,no,yes
2001,187732,15,9,no,no,yes
2001,187733,15,10,no,no,yes
2001,187735,15,9,no,no,yes
2001,187736,15,10,no,no,yes
2001,187737,15,9,no,no,yes
2001,187738,15,9,no,no,yes
2001,187740,15,10,no,no,yes
2001,187741,15,10,yes,yes,yes
2001,187742,15,9,no,no,yes
2001,187743,15,10,no,no,yes
2001,187744,15,9,no,no,yes
2001,187745,15,9,no,no,yes
2001,187746,15,10,no,no,yes
2001,187747,15,9,no,no,yes
2001,187748,15,9,no,no,yes
2001,187749,15,9,no,no,yes
2001,187750,15,9,no,no,yes
2001,187751,15,9,no,no,yes
2001,187752,15,9,no,no,yes
2001,187754,15,9,no,no,yes
2001,187755,15,9,no,no,yes
2001,187756,15,10,no,no,yes
2001,187758,15,9,no,no,yes
2001,187759,15,9,yes,yes,no
2001,187761,15,9,yes,yes,no
2001,187762,15,9,no,no,yes
2001,187763,15,10,no,no,yes
2001,187764,15,9,no,no,yes
2001,187765,15,9,no,no,yes
2001,187766,15,9,no,no,yes
2001,187767,15,10,no,no,yes
2001,187768,15,10,no,no,yes
2001,187769,15,10,no,no,yes
2001,187770,15,9,no,no,yes
2001,187771,15,9,no,no,yes
2001,187772,15,9,no,no,yes
2001,187773,15,10,no,no,yes
2001,187774,15,9,yes,no,no
2001,187775,15,9,no,no,yes
2001,187776,15,9,yes,yes,yes
2001,187777,15,9,no,no,yes
2001,465987,16,10,no,no,yes
2001,465988,16,11,no,no,yes
2001,465989,16,10,no,no,yes
2001,465990,16,10,no,no,yes
2001,465991,16,9,no,no,yes
2001,465992,16,10,no,no,yes
2001,465993,16,10,no,no,yes
2001,465994,16,10,no,no,yes
2001,465995,16,9,no,no,yes
2001,465996,16,10,no,no,yes
2001,465997,16,11,yes,yes,no
2001,465998,16,11,no,no,yes
2001,465999,16,11,no,no,yes
2001,466000,16,10,no,no,yes
2001,466001,16,11,no,no,yes
2001,466002,16,11,no,no,yes
2001,466004,16,11,no,no,yes
2001,466005,16,10,no,no,yes
2001,466006,16,10,no,no,yes
